scheme_code,scheme_name,start_date,end_date,duration_years,start_nav,end_nav,cagr,annual_volatility,sharpe_ratio,max_drawdown
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,2013-01-02,2026-06-19,13.46,103.0059,105.9219,0.0021,0.087,-0.6659,-0.3665
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,2013-01-02,2026-06-19,13.46,15.0253,107.9636,0.1578,0.1531,0.6389,-0.3351
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,2013-01-02,2026-06-19,13.46,14.6967,100.7824,0.1538,0.1669,0.562,-0.3996
119092,HDFC Money Market Fund - Growth Option - Direct Plan,2012-12-31,2026-06-19,13.46,2399.2,6195.7815,0.073,0.0054,2.4122,-0.0139
120841,quant Mid Cap Fund - Growth Option - Direct Plan,2013-01-07,2026-06-19,13.45,30.6076,251.5713,0.1696,0.1542,0.7108,-0.3343
125497,SBI Small Cap Fund - Direct Plan - Growth,2013-11-18,2026-06-19,12.58,13.0894,202.0761,0.243,0.152,1.2034,-0.4026
